UserName,Handle,TimeStamp,Comments,Likes,Retweets,Text
Tripurao Didi Ke Chay,@TripuraoDidi,2022-09-02T16:00:01.000Z,"আর ঠিক ২৯ দিন। মেতে উঠুন মা দুর্গার আগমনে।

#Tripura #durgapuja #Durgapuja2022",,11,21
Baazar Kolkata,@BaazarKolkata,2022-09-02T15:43:14.000Z,"We’re here for the Hoodie Pajama comments!

Comment below & let us know the outfit you generated!

#BaazarKolkata #FashionJoDilChahe #BePujoReady #AmraPujoReady #durgapuja #maadurga #maaaschen #durgapujakolkata #durgapuja2022 #durgapujavibes #durgapujaiscoming #commentbelow",,,2
Bangladesh Livenews,@banglalivenews,2022-09-02T15:23:52.000Z,"পূজায় ৩ দিনের ছুটিসহ চার দাবি হিন্দু মহাজোটের | Bangladesh Live News https://bangladeshlivenews.com/bn/bangladesh/details/four-demands-of-the-hindu-mahajote-including-3-days-holiday-during-puja… 

#HinduMohajote, #Bangladesh, #HinduFestival, #DurgaPuja",,,
LokMarg,@LokMarg,2022-09-02T15:23:40.000Z,"No P-O-P Idols: DPCC Issues Guidelines For Ganesh Utsav, Durga Puja

#plasterofparis #idols #ganeshotsav #durgapuja #DPCC #DelhiNews #guidelines #newsupdatetoday #newsportal #lokmargnews #lokmarg",,1,1
Banglar Gorbo Mamata,@BanglarGorboMB,2022-09-02T14:10:13.000Z,"মাননীয়া মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়ের ঐকান্তিক প্রচেষ্টায়, শারদোৎসবের আমেজে রঙিন হয়ে উঠলো তিলোত্তমা। 

#BanglarGorboMamata #durgapuja #Didi #Bengal #UNESCO",19,115,298
মধ্যমগ্রাম বারোয়ারী সার্ব্বজনীন দুর্গাপূজা কমিটি,@sarbbajanina,2022-09-02T14:09:29.000Z,"ঠাকুরের দু-মেটের কাজ চলছে 

 #Durgapuja2022 #মধ্যমগ্রাম #baroyari #2022year #durgapujaspecial l #durgapuja @ Modhamgram",,,
India in Germany,@eoiberlin,2022-09-02T14:00:17.000Z,"Thank you 
@BongIgnite
 for inviting #AmbHarishParvathaneni for the #berlinsarbojonin2022 #DurgaPuja - inscribed on 
@UNESCO
 Representative List of the Intangible Cultural Heritage of Humanity. Our best wishes for a very successful event.",2,2,10
News18.com,@news18dotcom,2022-09-02T13:59:42.000Z,"Delhi Police has urged city residents to follow DPCC guidelines to ensure pollution-free festivities for #GaneshChaturthi and upcoming #DurgaPuja
https://news18.com/news/india/rs-50000-fine-for-violators-delhi-police-urge-citizens-not-to-immerse-pop-based-idols-in-water-bodies-check-guidelines-5877745.html…",,,2
Mysepik,@mysepik,2022-09-02T13:58:24.000Z,"দেখে নিন কলকাতার বুকে এমন কয়েকটি জায়গার নাম যেখানে আপনি খুব কম দামেই কেনাকাটা করতে পারবেন
https://mysepik.com/you-can-visit-these-places-to-do-puja-shopping-at-a-low-cost-in-the-heart-of-kolkata/…
#Mysepik #DurgaPuja #Durgapuja2022 #DurgaPujaKolkata #DurgaPujo",,,
Dr ABHAYA RANJAN PATTANAYAK,@DrABHAYARANJAN1,2022-09-02T13:49:12.000Z,"If #DurgaPuja inscribed on the UNESCO Representative List of the #IntangibleCulturalHeritage of Humanity,why not our thousands year old #BalijatraMahostav in the river bank of #Mahandi,as #NATIONALFESTIVAL! Requesting Hon'ble 
@narendramodi
 ji to look into this. 
@PMOIndia",,4,4
First India,@thefirstindia,2022-09-02T13:45:09.000Z,"No plaster-of-Paris idols: Delhi Pollution Control Committee issues guidelines for Ganesh Utsav, Durga Puja

READ:https://firstindia.co.in/news/delhi/No-plaster-of-paris-idols-delhi-pollution-control-committee-issues-guidelines-for-ganesh-utsav-durga-puja…

#PlasterOfParis #GaneshChaturthi #Ganeshotsav2022 #GaneshChaturthi2022 #DurgaPuja #Durgapuja2022",,,
Drishtibhongi,@Drishtibhongi,2022-09-02T13:30:00.000Z,"সংসার সামলেই সুইৎজারল্যান্ডের জন্য উমাকে তৈরি করলেন মালা পাল। কুমোরটুলি থেকে দুর্গা এবার বিদেশে

#MalaPal #Kumartuli #MaaDurga #DurgaIdol #DurgaPuja #DurgaPuja2022 #Switzerland #Drishtibhongi

https://youtu.be/v0UpcEfzpow",,,6
AMIT MAJUMDER,@AmitMajumderTMC,2022-09-02T12:03:27.000Z,"Bengali Culture & Heritage #DurgaPuja, Hon'ble CM 
@MamataOfficial
 has Carefully Developed #UNESCOCultureOffHeritage

Some #Gujaratis with some Traitors are trying to snatch the Bengali Tradition from the #Bengalis
#PuppetsOfBJP
#KhelaHobe",3,7,6
Amit Modak,@amitmod68022395,2022-09-02T12:01:49.000Z,"দুর্গাপুজোর বিশ্বায়ন
#UNESCO #kolkata #CM #MamataBanerjee #DurgaPuja",,,1
BNN Bangladesh,@BNNBangladesh,2022-09-02T11:57:06.000Z,"The eighth, ninth and tenth day of the #DurgaPuja should be declared a government holiday, they said, while pressing forth their four-point demand.",,,2
BNN Bangladesh,@BNNBangladesh,2022-09-02T11:57:05.000Z,"JUST IN: The #Bangladesh National Hindu Grand Alliance has demanded a three day government holiday for the #DurgaPuja, the biggest festival of #Hindus.",1,1,5
Luxe India Tours and Travels,@luxeindtours,2022-09-02T11:55:22.000Z,"This Durga puja, hail to goddess Durga and experience a luxurious time at Swiss Graden Bukit Bintang for a 3-night stay from 1st October to 10th October'2022 and enjoy a splendid time in peace and embrace the empowerment within you!

#durgapuja #durga #malaysia #kualalumpur",,,
